,content
760,罗云熙在看吗
761,吴昕好好看啊啊啊啊啊啊
762,静姐！！！！！！！！太飒了
763,看的好想哭刚开始就好想哭感觉很不容易
764,昕昕子啊啊啊啊啊，姐姐们都好美
765,看到姐姐们，电视剧电影自动在脑海浮现
766,金莎依然那么漂亮
767,姐姐们都好好看啊
768,你一票我一票，东北赫本要出道！
769,姐姐们好美！
770,姐姐们    爱了(⑉°з°)-♡
771,这一个个太好看了比现在千篇一律的网红脸好看多了
772,这挺励志啊太可了
773,万茜!蓝盈莹!宁静!张雨绮!冲冲冲!
774,都是三十岁以上吗
775,姐姐们谁能把一公开场舞的舞台完整版发一下
776,躲过了青春有你创造营没躲过姐姐们哈哈
777,别鸡汤了，就是戏少增加曝光
778,为了宁静来的！！！冲
779,蓝盈莹c位出道吧
780,为什么不打名字呢
781,这么好的歌声，特别的动听哦陈松伶
782,晓明哥冲啊
783,姐姐们太好看了，一个个都好有气质
784,静静！！！！！
785,为了宁静 期待宁静
786,静静子！！
787,每一个人都喜欢
788,我去  都给我看哭了！姐姐们说的真好！！
789,我天 都好好看啊😘
790,这个节目绝了啊啊啊
791,宁静给我冲aaaaaaaa   出道出道 
792,哇 应该会很好看吧
793,温柔俏皮少女昕 稳稳绑住我的心 ❤️吴昕冲鸭！
794,我来啦   都不知道开播了
795,几乎姐姐们   都有回忆的画面    主要蓝菲林进来的啦
796,出道人太少了
797,我爱了芒果台一出手就知有没有
798,姐姐们来了  哥哥们还远吗
799,啊啊啊啊我是宁静的粉头哦哦哦静姐冲鸭
800,姐姐们的气质真的太好了吧！！！！！！！
801,我的金莎姐姐依旧那么美丽，小川还在等你呢，素素
802,？蓝盈莹不是90后吗
803,完了，我就看了一个开头我就觉得好热血啊
804,都好漂亮
805,宁静给我使劲冲，你要努力啊宁静
806,姐姐们冲啊！！
807,姐姐们太有魅力了都   独立女性啊  加油
808,昕昕加油(ง •̀_•́)ง
809,宁静姐加油
810,你不投，我不投，昕姐何时能出头
811,盈莹姐姐爱你
812,好喜欢啊~~~哭了~~就是我现在正在经历的
813,哈哈哈不是你们是小明乘风破浪
814,期待吴昕
815,"第一期，留个名,喜欢宁静"
816,静姐是来玩的吧哈哈哈哈
817,哇这个节目绝了，全是仙女啊
818,永远记得金莎的蓝菲琳，素素。张萌的小月，高岚。静姐的大玉儿
819,昕昕子加油！！！乘风破浪！！！
820,比那些20岁的小姑娘看着有气质多了
821,文案好棒啊!!!
822,节目组也是勇，期待！
823,神话三美冲冲冲...............
824,舞台也漂亮
825,超漂亮的姐姐们╭( ′• o •′ )╭☞
826,来看虐导演的哈哈哈哈哈
827,芒果的文案，牛
828,姐姐！我这个小老姐姐也来了
829, 张雨绮宁静给我高位出道
830,每个我都好喜欢怎么办啊
831,好多姐姐都看不出来30了都很漂亮啊
832,都有姐姐了，谁还看妹妹呀！看姐姐的叫我一个！
833,宁静！冲冲冲
834,文案真的太好了！！！芒果还是你芒果！牛！
835,张雨绮我爱你
836,姐姐们都美呆了，我三十也要如此少女感
837,听着汗毛都立起来了，激动。必火🔥
838,这个文案好棒
839,这个文案绝了
840,这文案可以啊
841,宁静越来越年轻了
842,哇！这次的旁白很棒啊
843,好多美女啊！每个姐姐我都很喜欢，姐姐们加油，冲鸭
844,芒果还是综艺大哥大，这创意，这阵势
845,湖南卫视就是牛，一下请这么多女明星
846,芒果好评
847,30岁是个坎，希望自己也可以突破自己，也希望每个女人都能成为更好的自己
848,唯一能和德云社pk的团体
849,确实很燃很励志 我马上就要30了，看了这个感觉30很美好
850,文案绝了！
851,芒果的文案是真好
852,写文案的都在哪请的
853,90后怎么了 90后也30了好不
854,姐姐们好美！！！！！！！
855,蓝盈莹c位出道啊啊啊啊啊啊啊
856,哇这个文案太优秀了
857,说90后的那位，最早的90也31岁了
858,这个场景好飒！文案也棒棒哒！喜欢！笔芯(*˘︶˘*).。.:*♡
859,沈梦辰加油
860,万茜加油(ง •̀_•́)ง爱你
861,未金晨盈莹而来
862,万茜冲冲冲
863,姐姐们太飒了啊啊啊
864,自信独立的姐姐们
865,啊啊啊啊姐姐们我爱你
866,从小就喜欢昕昕，每次看快本都在看昕昕(๑′ᴗ‵๑)ＩLᵒᵛᵉᵧₒᵤ❤
867,静静太好看了吧
868,芒果台的文案真的太绝了
869,芒果的文案，美工，创意都是棒棒哒
870,看完乘风破浪的姐姐 想要披荆斩棘的哥哥
871,100分钟，时长好感人
872,姐姐们就是给不同类型的女生一个不同的榜样，挺好的喜欢
873,芒果台就是不一样，一直是中国先锋
874,这个文案满分啊啊啊啊
875,这文案好有感觉，想哭啊
876,文案太爱了，反反复复不知道听多少遍
877,昕昕子我来啦
878,破姐姐 我来了
879,昕昕加油爱你(ɔˆ ³(ˆ⌣ˆc)
880,文案太好了
881,姐姐们，冲啊！！！
882,姐姐们我来啦
883,啊～姐姐们，我爱你们。
884,这节目是真的可以！！！！大爱！！！！
885,姐姐们真的越来越好看了！！
886,终于找到了一个不用快进和加倍速的综艺节目
887,好激动，鸡皮疙瘩起来了。
888,这节目实在是感动了，就还没有看完，就觉得30岁以后的女人需要重启，泪目中
889,姐姐们加油
890,姐姐们 加油！
891,姐姐们加油❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
892,芒果的文案写手是年薪百万的吧，写的文案太绝了
893,变形记口吻
894,开场白也太棒了吧，起鸡皮疙瘩了
895,王菲菲，孟佳，沈梦辰，张含韵，李四蛋啊啊啊啊啊啊
896,蓝盈莹加油啊
897,我来啦我来啦我来啦 ！！！
898,你爸爸终究是你爸爸，芒果太给力了，这个文案这个舞台我都好喜欢！
899,芒果文案🐮🍺
900,姐姐我来啦～
901,这也是成团出道吗😂️
902,芒果的文案果然没有让人失望😊
903,姐姐们绝了 希望我三十岁以后也这么棒
904,想哭是咋回事
905,开头好像变形记哦～
906,我大弗兰台的文案真的绝！！！
907,写文案直接把我听的鸡皮疙瘩都起来了，太棒了！吹爆我大芒果台！
908,这才是女团 现在 年轻女团长得谁是谁都分不清全一个模样
909,宁静万茜出道
910,芒果综艺太用心了喜欢
911,先给芒果台点个赞 真的厉害
912,什么是山，就是人心中的偏见啊，还记得吗
913,90年的已经三十了，95年的还远吗？
914,文案稿子真不错
915,很励志，我30过了，看了又有了激情
916,不是卫视播出吗
917,给大家点赞点的我手都累了
918,万茜我爱你
919,文案必须好呀 吴梦知大神的作品
920,我喜欢宁静，她就是乘风破浪的人
921,我就30了，但是我觉着我现在很美
922,文案太棒了
923,昕昕子给我冲
924,这几个姐姐们还好，至少不是网红脸，能分清😂😂😂
925,没用青春归位好评
926,霸气魔丸静静子! 第一金瓜茜茜子! 笨蛋美人琦琦子! 冲鸭!
927,姐姐们 冲鸭 
928,蓝盈莹刚好30
929,百万文案千万后期
930,我好奇的是:真要成团吗？成团后各位姐姐有时间演出吗？大部分是演员，不演戏啦？
931,芒果的文案 从快男的时候就很爱了  
932,为什么有一种想哭的感觉？我还不到30呀
933,再来一遍，这是哪个表演组，就坐轮椅👩‍🦼了
934,湖南卫视太会了
935,这文案绝了！！！！！！！！！！！！！！
936,芒果文案绝了
937,刚三十出头的自己，想哭
938, 两个字形容一下万茜第一期的感觉：“得体”
939,姐姐们我来啦！冲
940,湖南卫视的后期与文字真的在我的点上
941,茜茜子冲鸭
942,有一说一，wuli芒果台文案真是强啊
943,谢谢正能量的节目，也让30+的我，充满阳光
944,昕昕冲啊
945,每个姐姐都喜欢，怎么办😱，投谁啊！
946,片头文案好戳心啊
947,这些姐姐都好有辨识度，真的是好看
948,想念霏霏
949,牛皮，这个文案我服了，我听着鸡皮疙瘩都起来了，真的厉害！
950,太棒了，这个节目，被感动到了❤️
951,哈哈哈哈姐姐们冲
952,芒果文案绝了绝了！
953,不出所料的话不久之后应该又有很多类似的节目出现了
954,鸡汤文案
955,有变形记内味了
956,这就是变形记的独白小哥吧😂
957,100分钟是不敢剪嘛哈哈哈哈哈
958,昕姐加油，pick你
959,有、、、高级
960,这个节目的性质可可可可可可
961,姐姐们我来了，这是我今年唯一看的综艺了
962,来了 漂亮姐姐们 ！！
963,我也是姐姐的年龄了，还有两个礼拜就是30岁啦，三十而励，加油自己
964,这鸡汤好喝
965,这是丁文山的声音吗？
966,片头看的我 想多读些书了
967,这鸡汤干了，为30而励干杯🍻
968,湖南卫视的文案从来都没让我失望
969,那个说蓝盈莹90后的，90年今年刚刚30🙄
970,湖南卫视做综艺真的没话说
971,这文案太好了
972,湖南卫视还是稳的
973,我想到了SNH48 SII的公演，一切过往，皆为序章，233
974,我很满意我已经30岁了，因为前面的年少轻狂造成现在的沉淀
975,好期待  终于开播了
976,芒果文案好棒
977,怎么开头一股变形计的味道哈哈
978,好热血，我起鸡皮疙瘩了
979,我大芒果是真的有钱。
980,给自己加个油打个气，加油好好生活吧
981,文案哪里好了 全身不舒适 
982,文案也太热血了 励志
983,开场说的好有激情啊🌹
984,文案开场好哇塞～做不凡的自己 把生活过成诗词的模样
985,姐姐们好漂酿
986,姐姐们一起出道吧！我选不出来！！
987,momode开了会员
988,这个开头看得我热血沸腾，激情澎湃的
989,为金晨而来
990,没有投票吗？
991,孟佳！！王霏霏！！冲冲冲！！！！
992,这个节目不知道做出来有什么意义，反而优秀的人被淘汰
993,放完姐姐，是不是还会有哥哥，爸爸妈妈，弟弟妹妹叔叔阿姨等等啊
994,芒果台文案是一绝
995,文案满分，喜欢～～
996,文案太好了，高考语文作文满分吧！
997,前面cue蓝盈莹的 90也30了呀……哈哈
998,姐姐们冲鸭冲鸭冲鸭冲鸭冲鸭！加油加油加油加油加油！！！！！
999,前面说90年31的！明明30好嘛！！！
1000,这文案写的真好
1001,这文案绝了
1002,这个文案真的牛皮
1003,有种后浪的feel
1004,希望有披荆斩棘的哥哥们
1005,抖音娱乐新闻的小编们都准备好了吗    
1006,芒果台的后期和文案真的绝对是一流！！
1007,好像变形计的前奏哈哈哈
1008,一切过往，皆为序章
1009,这个文案绝了，我居然没有快进
1010,所以这一切的一切都只持续了两期，后期还有这些打破定义内容嘛
1011,芒果台的百万文案不是虚的
1012,文案好厉害
1013,文案好棒
1014,乘风破浪会有时，直挂云帆济沧海
1015,怎么办 好感动  想哭了
1016,好的，接下来请收看乘(sing)风破(zoo)浪的姐姐
1017,文案，鸡皮疙瘩起来了
1018,有一说一芒果台文案一如既往的棒
1019,文案听的我都想哭
1020,凡是过往，皆为序章。——莎士比亚
1021,文案前言不搭后语的，说文案绝了的都是托儿吗
1022,郁可唯冲郁可唯实力vocal
1023,是不是《神话》里玉漱，吕素，小月都来了!!!?
1024,芒果的文案也太好了
1025,湖南卫视的综艺独白就没输过 哈哈哈哈
1026,一切过往皆为序章
1027,昕昕子冲压
1028,瞬间秒杀那些选秀的哈哈哈
1029,王霏霏孟佳冲鸭！！！！思念冲！！！
1030,文案太牛了
1031,百万文案啊
1032,孟佳！王霏霏！冲啊！！！
1033,给我冲啊，姐姐们
1034,期待了好久
1035,凡是过去，皆为序章
1036,一切过往，皆为序章
1037,文案好棒👍🏻👍🏻👍🏻👍🏻
1038,太励志了
1039,各位别急，披荆斩棘的哥哥们马上也要来了
1040,昕昕和蓝盈莹加油
1041,我也是为了这个节目包了个季
1042,文案100分
1043,留下在综艺第一线的我
1044,直挂云帆济沧海，乘风破浪会有时
1045,我爱吴昕
1046,乘风破浪会有时，直挂云帆济沧海
1047,专门为吴昕而来，吴昕昕昕子冲啊啊啊啊啊啊啊
1048,好高级的文案
1049,文案满分！
1050,文案太牛了，来蹭蹭文采
1051,这文案，爱了
1052,亲爱的，爱你的最好方式就是好好爱自己！
1053,这文案哪里好了……真的是外行看热闹
1054,一切过往，皆为序章！这话我喜欢
1055,综艺史上第一档节目，节目组听嘉宾的，还得一路顺着来
1056,片头好棒
1057,你不投，我不投，姐姐来个一轮游，出不出道不重要，开心快乐最重要。
1058,说的好好啊
1059,文案写得好棒呀，我要给写文案的大大点个赞。
1060,百万文案
1061,芒果雄心策划
1062,湖南卫视的文案一如既往的🐂🍺
1063,过湖南卫视的文案真的绝了！！！
1064,湖南卫视的文案写的太霸道了。给文案的组加鸡腿儿。
1065,一切过往，皆为序章，唐人街探案网剧的引子也用了这句哈哈
1066,但凡我文案有这一半好也不至于现在喝西北风了
1067,秒杀一切选秀节目
1068,三十而立！三十而丽！三十而骊！
1069,直挂云帆济沧海，长风破浪会有时。
1070,嘿嘿好像就我一个人看了818才来的
1071,这个文案我爱了爱了~~~
1072,这个文案也太赞了吧
1073,文案谁写的太A了满分💯。
1074,文案不错，初衷也可，可惜后面变味道了
1075,芒果台的文案和片头从来不会让人失望
1076,令人惊艳的文案，还有那个旁白小哥哥哇塞
1077,欢迎收看变形计，30岁女人的蜕变
