,stype,id,uname,content,time,v2_up_count
89,8980904,6846908306461591768,,我爱万茜啊啊啊啊啊啊！冲冲冲,14000,
90,8980904,6845154533873351185,听姐姐的,为了看姐姐们现充的会员,15221,8
91,8980904,6845518790050393437,太后驾到,我来了张雨绮给我冲,15000,6
92,8980904,6845469552545193816,气场强大,姐姐来了,15000,4
93,8980904,6851324164208947764,,爱死浪姐的文案啦！,15141,1
94,8980904,6845441545063409086,,姐姐们真棒,15000,4
95,8980904,6846284071619232538,,为萌萌子加油＾０＾~,15103,1
96,8980904,6845483116051945797,听姐姐的,来了来了，琳琳子，朵朵子,16817,7
97,8980904,6845242554933345037,浪花崽,加油，琪琪子,16860,8
98,8980904,6845164180369923826,听姐姐的,太喜欢这个节目了,16000,6
99,8980904,6845099257644034608,,来了来了,16000,7
100,8980904,6846749555880317577,,茜茜子冲啊啊啊啊,16192,5
101,8980904,6845125340980537343,气场强大,来咯……,16000,6
102,8980904,6845295932787056130,听姐姐的,來了來了,17976,8
103,8980904,6847525480378140675,,喜欢这个前面的前段，很有感触,17298,2
104,8980904,6845101907638867342,太后驾到,加油！！,17000,7
105,8980904,6845602460308442244,,喜欢宁静姐的浪花们🌸赶快给静姐投票啊,17418,2
106,8980904,6845103226193831875,浪花崽,来了来了,17923,6
107,8980904,6851223073563649017,拎包妹,姐姐们加油💪,17000,
108,8980904,6845309440459231481,演技派,茜茜子我来啦,18000,8
109,8980904,6845108070916959930,气场强大,来了,18979,9
110,8980904,6847337365105203073,,就觉得快点哦看到回复就发if看打卡打卡看的可,18364,
111,8980904,6845178426776479693,浪花崽,来了来了,18000,5
112,8980904,6845423085293947807,,吴昕我来了,18909,4
113,8980904,6846837718674064227,,这个开头跟小时代一样,18051,
114,8980904,6845219774426740730,听姐姐的,我来拉，来看姐姐们拉。,19488,5
115,8980904,6845166658566060065,跟班小弟,来了来了,19512,7
116,8980904,6845135760571240619,气场强大,姐姐们来啦来啦,19033,6
117,8980904,6845924926453489387,,为姐姐们专门冲的会员！,19588,1
118,8980904,6845450396991019754,,这个文案好棒,19000,3
119,8980904,6845989728920170778,浪花崽,来啦来啦👏👏👏,19712,
120,8980904,6845153017749891336,听姐姐的,蓝盈莹冲啊,20000,15
121,8980904,6845110879825583599,跟班小弟,来了,20359,7
122,8980904,6845340243964708291,,雨绮加油！！,20060,5
123,8980904,6848982526561185313,,金晨 我来了！啊啊啊啊啊,20000,1
124,8980904,6845099949133772595,浪花崽,今天准时,20544,6
125,8980904,6849616966245951329,,看到蓝盈莹，我想到了亲爱的客栈里的吴磊,20000,
126,8980904,6858535281165650396,,打开,21290,
127,8980904,6845825785723165867,,文案组加鸡腿,21895,18
128,8980904,6845099824579720394,最强舞担,我是第一  昕昕子  冲呀,21000,13
129,8980904,6849550896763839813,,喜欢这段播音的咬字和发音，舒服,21000,
130,8980904,6845443434849022062,听姐姐的,开始新的一期了，鸡动,21617,3
131,8980904,6846465456678292422,,冲浪榜有什么用啊，都投给静静子了还是很低,21993,
132,8980904,6845275136555348752,最强舞担,来了,22000,32
133,8980904,6845376227200724415,,梦知的文案,22000,7
134,8980904,6848946143893148790,,芒果文案真的炒鸡好,22254,6
135,8980904,6845180024504317504,太后驾到,都是会员放肆点,22000,7
136,8980904,6845554287955164292,听姐姐的,我就是来看吴昕的，不追星，就瞧她顺眼,22210,5
137,8980904,6853792370248265961,,姐姐们加油＾０＾~,22107,
