,stype,id,uname,content,time,v2_up_count
83,8337559,6852976322165694242,,屈服在抖音的轰炸之下，来看，2050.7.24号,13330,
84,8337559,6837427943532209658,听姐姐的,必须留名啊！可以载入综艺史册的！,14849,30
85,8337559,6837342495157456763,听姐姐的,姐姐们我来了,14317,32
86,8337559,6837440738239847613,听姐姐的,这个旁白人声可以，表白这个旁白人声小哥哥,14987,26
87,8337559,6841117002617235679,气场强大,啊啊啊啊啊，乘风破浪的小姐姐们我来了！攒了两期还是没忍住就来了。哈哈！,14505,9
88,8337559,6849595912316225254,,万茜万茜我爱死你啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,14000,
89,8337559,6837389121322644797,听姐姐的,欣姐加油欣姐加油,14584,23
90,8337559,6837660825249523735,听姐姐的,终于等到你,15839,34
91,8337559,6837378358134550065,太后驾到,特意冲了会员,15857,27
92,8337559,6837407280444453738,气场强大,姐姐们我来啦！！！,15000,25
93,8337559,6837418687877643669,最强舞担,这是不是花少的背景人声,15000,10
94,8337559,6838009546529975545,,啊啊啊啊姐姐蓝盈莹pick她！！❤️❤️❤️冲啊！,15960,3
95,8337559,6837306735259603419,,来了来了姐姐们好,15607,23
96,8337559,6851041941907516352,,考虑很久还是来了,16356,12
97,8337559,6837429343691554944,听姐姐的,吴昕  金晨   宁静   张雨绮出道吧,16009,24
98,8337559,6837701867957138437,拎包妹,来看姐姐了！！！静姐冲！！！,16284,14
99,8337559,6842190168916500464,,王霏霏 孟佳missA大前辈冲冲冲！！,16626,3
100,8337559,6837649443586163052,,有人说不够流行就不够资格哈哈哈,16635,8
101,8337559,6840290088267585705,,为姐姐们加油 不一样的女团 跨界勇敢 蓝盈莹金晨 黄晓明制作人主持加油 教主暖心,16797,
102,8337559,6837455667546247271,气场强大,吴昕姐姐，加油加油💪，你一票我一票明天昕姐能出道。,17000,19
103,8337559,6837314092538604687,,孟佳霏霏加油,17870,80
104,8337559,6839593642139673248,,海陆的当时是说自己的 而且声音很小,17686,13
105,8337559,6849672289719803700,,我怀疑会出一部新综艺叫逆流而上的哥哥,17333,5
106,8337559,6837322222911727678,,来啦来啦，淋雨一直走前来打call，昕昕子冲啊,17000,8
107,8337559,6837773727055195172,,姐姐们冲啊！！！！！！！！！！,17000,5
108,8337559,6837605003559495476,,我大湖南台还是牛,18000,37
109,8337559,6837351570423394869,演技派,万茜冲冲冲,18000,37
110,8337559,6837812506315020955,,王霏霏 孟佳冲啊！！！！！,18957,24
111,8337559,6837324336035646859,,姐姐们最牛 冲！！！！,18778,25
112,8337559,6838861599323192529,,蓝盈莹 沈梦辰 吴昕 给我冲！！！,18106,9
113,8337559,6839581083655287981,,万茜姐姐姐姐我来了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,18419,2
114,8337559,6837306834043851504,,我来了！！期待万茜,19000,28
115,8337559,6837329060499693294,,金晨加油！,19000,27
116,8337559,6837606107366091172,,刚冲的会员，听说挺好看的,19604,16
117,8337559,6837306782504243795,,第一第一，期待姐姐们,19855,24
118,8337559,6840454168903549062,,啊啊啊啊啊，期待已久,19961,4
119,8337559,6837998388204927176,,"哇哇哇,等好久了，居然悄无声息的开始了",19000,3
120,8337559,6837353382899602477,听姐姐的,为所有姐姐打call,20703,28
121,8337559,6837306864108622673,,我来了我来了宁静姐加油张雨绮加油吴昕加油,20128,22
122,8337559,6837478125930355399,,好多姐姐都好喜欢,20827,18
123,8337559,6837626074669067143,,来了。。。来了 !!! ,20367,8
124,8337559,6838518560284946805,,声音真好听，感觉这节目高大上,20006,7
125,8337559,6848934538891492993,,本来是我不想看的，后来朋友的推荐就看了,20647,1
126,8337559,6845923272891077484,,"是时候告诉大家我喜欢谁了
 
 
 
 
 
 
合上吧 我就喜欢红包~",21292,1
127,8337559,6837414027838105925,,宁静姐姐！！！（尖叫！）,21071,47
128,8337559,6837457175079776043,听姐姐的,你一票，我一票，姐姐都出道,21606,22
129,8337559,6837427093128680959,气场强大,女王们！！！！！！！我来了！！！！！！,21161,19
130,8337559,6839527340729432154,,为晓明来的，他最近演的鬓边不是海棠红超棒,21924,1
131,8337559,6840711025128053926,,天哪陈松林就是小时候觉得那个很漂亮的女演员,21000,
132,8337559,6837425237702800328,太后驾到,每次都是为了看综艺开VIP😭,22927,27
133,8337559,6837322158487217959,,为静姐打call,22038,34
134,8337559,6838149953306221409,,第二遍我来了哈哈哈哈哈,22000,20
