,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
0,13,6.8477E+18,,0,金晨万茜冲啊！,0,16
1,13,6.84814E+18,,0,第一组怎么了 我就喜欢李斯丹妮和王丽坤 ,0,5
2,13,6.84934E+18,,0,从来没想过有一天能看到这样的王丽坤，哈哈哈，好可爱,0,4
3,13,6.8477E+18,,0,来啦我爱白冰,0,14
4,13,6.85604E+18,,0,为什么没有一组是现场。。。全是对嘴型。。。这样搞有点失望说实话,0,
5,13,6.84857E+18,,0,钟丽缇好好看 我的妈呀 谁能相信五十了,0,4
6,13,6.84813E+18,,0,张形象没有少女感,1797,6
7,13,6.85277E+18,,0,你们说要是静香 雨绮  应采儿  巩俐  王菲在一个组会不会打起来,1026,4
8,13,6.84798E+18,,0,打卡,1000,1
9,13,6.8477E+18,,0,姐姐我来了,1000,6
10,13,6.8477E+18,,0,来了来了！,1000,5
11,13,6.84898E+18,,0,《定义》+《冲浪》，感觉效果更佳！,1972,2
12,13,6.8479E+18,,0,期待静静子和昕昕子,2943,16
13,13,6.8477E+18,,0,第一,2705,12
14,13,6.84814E+18,,0,二刷啊啊啊啊啊啊啊,2908,6
15,13,6.8477E+18,,0,第一！！！！,2000,10
16,13,6.85655E+18,,0,打卡,2000,
17,13,6.84844E+18,,0,姐姐们我终于来啦！,2049,
18,13,6.8477E+18,跟班小弟,3,霏霏我来啦！！！,3000,38
19,13,6.84787E+18,跟班小弟,3,晓明哥的汗水啊,3000,18
20,13,6.8477E+18,,0,来了,3000,22
21,13,6.84773E+18,气场强大,3,又是摸鱼的2个小时????,3030,18
22,13,6.84826E+18,,0,对于这个排名。。。,3000,9
23,13,6.85032E+18,气场强大,3,吴昕冲呀 你一票我一票昕昕明天就出道,3000,3
24,13,6.8477E+18,气场强大,3,等的我好辛苦饭都不香了，啊啊啊啊啊啊李斯丹妮,4349,25
25,13,6.8477E+18,跟班小弟,3,来啦来啦,4927,22
26,13,6.84771E+18,听姐姐的,3,我来了啊啊啊啊啊,4222,18
27,13,6.84784E+18,浪花崽,3,在场的VIP们 嚣张一点,4000,17
28,13,6.84778E+18,太后驾到,3,永爱张雨绮团队，绮绮子加油(? ??_??)?,4077,16
29,13,6.85268E+18,,0,宁静，无限可能！q音姐最slay榜c位出道吧！！,4000,1
30,13,6.84771E+18,浪花崽,3,终于来了来了,5098,12
31,13,6.8477E+18,听姐姐的,3,来啦来啦,5000,17
32,13,6.84778E+18,说唱bro,3,李四蛋冲呀,5902,10
33,13,6.84842E+18,,0,琦琦子加油,5000,2
34,13,6.84788E+18,,0,哈哈哈哈哈哈h,5000,1
35,13,6.84773E+18,气场强大,3,来了来了,5732,9
36,13,6.8477E+18,听姐姐的,3,我应该有第100吧哈哈,6244,15
37,13,6.8477E+18,,0,前排 绵阳来的,6000,16
38,13,6.84821E+18,,0,身材对比的好明显,6030,9
