,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
0,23,6.85776E+18,,0,就是喜欢不起来郁可唯，每次刚要喜欢，就发现她很势力,0,5
1,23,6.85697E+18,,0,万茜姐姐加油,0,7
2,23,6.85748E+18,,0,来看我绮绮子,0,1
3,23,6.85697E+18,,0,张小雨我来啦,0,3
4,23,6.85738E+18,,0,郁可唯锦鲤担当实锤！！,0,1
5,23,6.85697E+18,,0,第一??,0,1
6,23,6.85697E+18,,0,张含韵我来了,1911,18
7,23,6.85697E+18,,0,来了来了大喜,1000,9
8,23,6.85708E+18,,0,茜茜俺来啦！,1000,5
9,23,6.85697E+18,,0,看来静静子,1000,4
10,23,6.85727E+18,,0,打卡,1000,1
11,23,6.85737E+18,,0,期待下期阿朵,1952,
12,23,6.85697E+18,,0,宁静我来了,2000,4
13,23,6.85697E+18,,0,来了小花！,2000,3
14,23,6.85749E+18,,0,茜茜我来咯,2000,1
15,23,6.85901E+18,,0,哈哈？,2933,
16,23,6.85697E+18,,0,第一,2938,1
17,23,6.85771E+18,,0,我来啦,2000,
18,23,6.85697E+18,,0,四蛋万崽我来了,3014,19
19,23,6.85697E+18,,0,来了来了万崽冲！,3000,14
20,23,6.85697E+18,,0,万茜,3812,26
21,23,6.85731E+18,,0,郑希怡我来啦！,3000,7
22,23,6.85879E+18,,0,孟佳长得像男的,3000,
23,23,6.85697E+18,,0,第一？,3000,6
24,23,6.85707E+18,,0,金晨我来啦,4007,4
25,23,6.85698E+18,实力唱将,3,张含韵我来了！！！！！,4962,4
26,23,6.85865E+18,,0,绮绮子我爱你！！！！！！！！！！！绮绮子我爱你！！！！绮绮子我爱你！！！！！！！,4000,2
27,23,6.85697E+18,,0,第一第一,4000,4
28,23,6.86199E+18,,0,打卡,4068,
29,23,6.85922E+18,太后驾到,3,哀家期待宁静,4000,
30,23,6.85697E+18,,0,宁静，我来啦,5552,13
31,23,6.85697E+18,,0,小花小花，我来了，第一第一,5984,7
32,23,6.85733E+18,,0,来看金晨啦,5000,6
33,23,6.85751E+18,,0,加长版来了，又有的看了,5188,2
34,23,6.85697E+18,,0,第一??,5000,3
35,23,6.85774E+18,,0,唯唯子来了,5067,
36,23,6.85698E+18,,0,韵韵子，我来了,6994,7
37,23,6.85697E+18,,0,给小李排面,6167,7
38,23,6.85697E+18,,0,冰冰我来啦,6002,4
39,23,6.85724E+18,,0,超喜欢,6913,3
40,23,6.85774E+18,,0,人间腿精郁可唯,6947,
41,23,6.85711E+18,听姐姐的,3,万茜我来啦,6374,3
42,23,6.85697E+18,,0,万茜我来了,7987,24
43,23,6.85697E+18,,0,万茜万茜,7000,10
44,23,6.85697E+18,,0,王霏霏我来了！,7305,6
45,23,6.86041E+18,,0,VIP都嚣张一点,7108,1
46,23,6.85707E+18,,0,张含韵我来啦,7333,5
47,23,6.85767E+18,,0,的啊打可啊卡,7594,
48,23,6.8574E+18,,0,李斯丹妮加油,8292,6
49,23,6.85697E+18,,0,支持我韵乖,8000,6
50,23,6.85708E+18,,0,万茜万茜,8000,5
51,23,6.85769E+18,,0,静静子妈妈来了,8065,1
52,23,6.85697E+18,,0,第一个哈哈哈哈 yumiko我来了,8593,2
53,23,6.85793E+18,,0,大喜我来了！,8000,
54,23,6.85782E+18,,0,万茜，为你而来,9071,11
55,23,6.85697E+18,,0,李斯丹妮我来啦,9360,11
56,23,6.85698E+18,气场强大,3,金大喜我来啦,9140,5
57,23,6.85914E+18,,0,一直爱着的万茜,9095,2
58,23,6.85697E+18,,0,李斯丹妮我来啦,9930,5
59,23,6.86041E+18,,0,哎呀呀,9833,
60,23,6.8577E+18,,0,王霏霏我来了,10000,4
61,23,6.85699E+18,听姐姐的,3,茜茜子,10944,4
62,23,6.86218E+18,,0,李斯，麻麻们来啦,10959,
63,23,6.85697E+18,,0,韵韵子，加油,10981,4
64,23,6.85702E+18,浪花崽,3,茜茜我来啦,10405,3
65,23,6.85997E+18,,0,四蛋我来啦！！！,10025,
66,23,6.85697E+18,,0,李斯丹妮,11079,6
67,23,6.8577E+18,,0,李斯丹妮我来啦,11592,5
68,23,6.85697E+18,,0,李斯丹妮！！！！,11000,4
69,23,6.85697E+18,,0,第一吗 表白黄圣依 ,11196,2
70,23,6.8581E+18,,0,郁可唯加油加油再加油,11000,1
71,23,6.86552E+18,,0,打卡,11877,
72,23,6.85758E+18,,0,四蛋?我来啦,12000,4
73,23,6.85697E+18,,0,金大喜 给小姨冲啊！,12302,4
