,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
0,25,6.8592E+18,,0,王霏霏，我为你而来～～～,0,10
1,25,6.85927E+18,最强舞担,3,我说我最帅，大家没意见吧！,0,9
2,25,6.85958E+18,,0,前排承包金晨晨晨子！,0,7
3,25,6.8592E+18,,0,来看四蛋,0,8
4,25,6.86076E+18,,0,蔡徐坤的歌啊,0,3
5,25,6.86044E+18,,0,我觉得独上就很金晨 一剪梅就很黄龄 缘分就很郑希怡 这仨太配了,0,3
6,25,6.8592E+18,,0,李斯丹妮队长最棒,1000,25
7,25,6.8592E+18,,0,来看张小雨啦～请务必c位出道！,1000,24
8,25,6.8595E+18,,0,打卡,1000,
9,25,6.8592E+18,,0,郁可唯冲鸭,1963,9
10,25,6.86037E+18,,0,王霏霏！！！,1000,
11,25,6.8592E+18,,0,来了,1000,2
12,25,6.8592E+18,,0,四蛋宝宝妈妈来了,2000,13
13,25,6.8592E+18,,0,万斯冲！,2247,14
14,25,6.8592E+18,,0,小李来了来了,2000,7
15,25,6.85943E+18,气场强大,3,日常要求给静静子加餐,2000,5
16,25,6.8592E+18,,0,蛋我来啦,2968,7
17,25,6.85955E+18,,0,昕昕加油 ,2063,2
18,25,6.8592E+18,,0,来看李斯丹妮队长！,3000,20
19,25,6.8592E+18,,0,宁静宁静宁静宁静妈妈来啦！！！,3000,18
20,25,6.8592E+18,,0,看吴昕,3000,10
21,25,6.85934E+18,,0,打卡。,3449,5
22,25,6.8592E+18,,0,大喜子,3000,10
23,25,6.8592E+18,,0,来了来了,3156,2
24,25,6.8592E+18,,0,万茜 我来了,4805,30
25,25,6.8592E+18,,0,李斯丹妮我来了,4000,22
26,25,6.8592E+18,,0,来看李斯丹妮啦,4000,19
27,25,6.85929E+18,气场强大,3,金晨金大喜我來啦,4000,10
28,25,6.85934E+18,气场强大,3,绮绮子 小雨 加油 冲,4953,9
29,25,6.8592E+18,,0,给朵姐排面,4982,11
30,25,6.8592E+18,,0,王霏霏 我来了,5000,11
31,25,6.8592E+18,,0,宁静郑希怡 我来了,5000,10
32,25,6.85934E+18,,0,来了来了四蛋我来了,5194,8
33,25,6.8592E+18,,0,张含韵冲冲冲冲,5000,8
34,25,6.85955E+18,,0,来了来了,5000,1
35,25,6.85943E+18,,0,来了！,5547,1
36,25,6.8592E+18,,0,李斯我来啦,6000,22
37,25,6.8592E+18,,0,面粉厂工前来报道！,6000,8
38,25,6.8592E+18,听姐姐的,3,茜茜我来啦,6992,6
39,25,6.86482E+18,,0,好喜欢李斯丹妮啊妈呀我要嫁给你,6362,1
40,25,6.8592E+18,,0,表白静静子,6055,3
41,25,6.8662E+18,,0,在干嘛？？,6000,
42,25,6.8592E+18,,0,金晨金晨我来了,7025,21
43,25,6.8592E+18,,0,霏霏我来啦！！！,7008,19
44,25,6.8592E+18,,0,佳佳回来了！！！！！！,7000,16
45,25,6.8592E+18,,0,来了，白冰姐姐,7407,17
46,25,6.8592E+18,,0,一组莲来了，爱你们,7862,9
47,25,6.86144E+18,太后驾到,3,都是vip嚣张点,7000,1
48,25,6.8592E+18,,0,万万崽崽！,8619,19
49,25,6.8592E+18,,0,小雨，我来了,8215,8
50,25,6.8592E+18,,0,静静子我爱你,8300,8
51,25,6.8592E+18,,0,霏霏我来啦,8000,5
52,25,6.85941E+18,,0,万茜我来啦,8000,3
53,25,6.85958E+18,,0,给宁静排面,8366,1
54,25,6.8592E+18,太后驾到,3,宁静宁静宁静宁静！！！我爱你！！！,9793,18
