,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
0,8,6.84475E+18,,0, 梦辰真的是来当主持人的哈哈哈,0,2
1,8,6.84374E+18,,0,刘芸挺好的啊！,0,3
2,8,6.84781E+18,,0,梦辰吴昕金莎加油子,0,1
3,8,6.84392E+18,,0,打卡,922,1
4,8,6.84698E+18,,0,怎么没有人送送她呀呜呜,0,
5,8,6.84362E+18,,0,第一,0,1
6,8,6.85784E+18,,0,黄圣依什么时候走啊,1939,5
7,8,6.84362E+18,,0,女明星必须要会唱会跳啊,1028,3
8,8,6.84443E+18,,0,啊啊啊,1000,
9,8,6.84619E+18,,0,姐姐加油,1000,1
10,8,6.84362E+18,,0,来了,1964,3
11,8,6.86601E+18,,0,打卡,1000,
12,8,6.84371E+18,,0,期待蓝盈莹,2961,10
13,8,6.84362E+18,,0,喜欢 沈梦辰 金晨 张雨绮 ,2000,9
14,8,6.84445E+18,,0,姐姐们冲鸭,2000,2
15,8,6.84362E+18,,0,来了来了,2971,9
16,8,6.8455E+18,,0,lae来啦,2993,1
17,8,6.84485E+18,,0,宁静姐姐slay,2000,1
18,8,6.84403E+18,,0,我来给萌萌子打call,3173,11
19,8,6.84362E+18,,0,打卡,3006,12
20,8,6.84394E+18,,0,加油(? ??_??)?,3077,10
21,8,6.84454E+18,,0,呀哈哈哈,3001,6
22,8,6.84471E+18,,0,加油昕昕,3983,4
23,8,6.85102E+18,,0,张含韵加油,3998,3
24,8,6.84488E+18,,0,喜欢万茜,4000,5
25,8,6.84362E+18,,0,来啦来啦,4026,9
26,8,6.84362E+18,,0,姐姐们 我来啦,4000,5
27,8,6.84453E+18,,0,爱你宁静姐姐,4000,3
28,8,6.84399E+18,,0,期待下期,4000,4
29,8,6.84389E+18,,0,早??,4856,3
30,8,6.84362E+18,,0,吴昕昕我来啦,5903,17
31,8,6.84442E+18,,0,宁静姐加油呀,5890,6
32,8,6.844E+18,,0,朱婧汐，王智，一定要回来,5966,5
33,8,6.8447E+18,,0,姐姐们 我来了,5000,2
34,8,6.85405E+18,,0,真正想成团的都走了，来玩的都留下了,5469,
35,8,6.84362E+18,,0,第一,5055,6
36,8,6.84362E+18,,0,第一 给可唯加油,6019,9
37,8,6.84453E+18,,0,怎么没有比赛时的内容呀？,6929,5
38,8,6.84472E+18,,0,张含韵沈梦辰，何时会淘汰？希望快点淘汰,6000,4
39,8,6.84362E+18,,0,哈哈哈,6193,7
40,8,6.84411E+18,,0,张含韵加油呀,6000,4
41,8,6.84362E+18,,0,兰花草啊啊啊啊啊啊,6636,4
42,8,6.84808E+18,,0,我好像看了个寂寞,7000,2
43,8,6.84375E+18,浪花崽,3,打卡,7148,8
44,8,6.84362E+18,,0,来了,7000,5
45,8,6.84557E+18,,0,为了我大宁静而来,7539,2
46,8,6.84509E+18,,0,兰花草就是坠吊的！,7965,2
47,8,6.84656E+18,,0,喜欢姐姐们,7179,1
48,8,6.84362E+18,,0,万茜 郑希怡 金晨冲鸭,8000,8
49,8,6.84698E+18,,0,哈哈哈哈哈哈哈哈琦琦子好可爱,8000,1
50,8,6.8439E+18,,0,大家好,8556,2
51,8,6.84671E+18,,0,一公哪里看啊？怎么找不见,8000,1
52,8,6.84442E+18,,0,为静静子打call！,8000,1
53,8,6.85621E+18,,0,好看，一个比一个漂亮,8038,
54,8,6.84372E+18,,0,来了呀,9366,3
55,8,6.8529E+18,,0,公演什么时候演的啊，直接公布结果了啊,9805,
56,8,6.84362E+18,,0,哈哈哈,9228,3
57,8,6.84391E+18,,0,来了,9891,2
58,8,6.84435E+18,,0,开了1,9793,1
59,8,6.85034E+18,,0,出道出道,9000,
60,8,6.84362E+18,,0,为朱婧汐打call,10000,5
61,8,6.84382E+18,,0,好看,10834,4
62,8,6.84443E+18,,0,为什么我没有VIP？我每天都签到,10029,1
63,8,6.84362E+18,,0,好早,10433,4
64,8,6.84401E+18,,0,我来啦,10513,1
65,8,6.84453E+18,,0,我来了,10000,
66,8,6.84362E+18,听姐姐的,3,来啦啦啦啦啦啦啦,11076,5
67,8,6.84362E+18,,0,啊啊啊啊，姐姐们我来了,11000,5
68,8,6.84399E+18,太后驾到,3,来了,11470,3
69,8,6.84441E+18,,0,金晨加油挖,11000,1
70,8,6.84712E+18,,0,万老板我来啦，高考结束！,11136,
71,8,6.8443E+18,,0,啊哈哈是啥时候,11949,1
72,8,6.84372E+18,拎包妹,3,我来了朱婧汐小姐姐！爱你爱你?,12000,9
73,8,6.84361E+18,,0,来了，宁静宁静宁静,12482,13
74,8,6.84364E+18,听姐姐的,3,大家都是VIP，说话嚣张点,12820,9
75,8,6.84953E+18,,0,静姐加油?,12000,1
76,8,6.84362E+18,,0,来了来了,12955,4
77,8,6.84395E+18,,0,来回顾一下我万海王端水,12033,1
78,8,6.84381E+18,,0,没想到粉上张雨绮了,13064,4
79,8,6.84543E+18,,0,棒棒的,13000,1
80,8,6.84399E+18,,0,来了,13703,1
81,8,6.8452E+18,,0,喜欢静姐,13000,
82,8,6.84362E+18,,0,都还没人吗,13951,1
83,8,6.8444E+18,,0,都是美女,13879,
84,8,6.84452E+18,,0,啊啊啊啊啊啊啊静静子我来了,14970,3
85,8,6.84392E+18,,0,姐姐们都超棒,14820,2
86,8,6.84362E+18,,0,第一,14907,3
87,8,6.84362E+18,,0,第一吗,14000,2
88,8,6.84639E+18,,0,伊能静居然还在?,14958,1
89,8,6.84362E+18,,0,没人？第一,14010,2
90,8,6.8444E+18,,0,支持宁静姐姐,15000,2
91,8,6.84426E+18,,0,加油！！！,15473,2
92,8,6.85345E+18,,0,金晨金晨金晨奥利给,15041,
93,8,6.844E+18,最强舞担,3,沈梦辰,15391,2
94,8,6.84391E+18,,0,来了,15231,2
95,8,6.84482E+18,,0,都是美女啊,15112,
96,8,6.84563E+18,,0,我看的有点懵？表演在哪里？怎么就淘汰了？,16986,4
97,8,6.84432E+18,,0,哇来了来了,16629,3
98,8,6.84553E+18,,0,前面的张含韵是惹你了吗,16394,2
99,8,6.8479E+18,,0,李佳臻，记得视频呦,16888,1
100,8,6.84362E+18,,0,姐姐们！,16154,3
101,8,6.86304E+18,,0,加油加油！！！,16612,
102,8,6.85045E+18,,0,加油,17453,1
103,8,6.86068E+18,,0,我最爱的霏霏~~~~,17353,
104,8,6.85112E+18,,0,pick宁静,17000,
105,8,6.84477E+18,,0,来了,17149,1
106,8,6.84933E+18,,0,打卡,17000,
107,8,6.84705E+18,,0,来啦来啦,17000,
108,8,6.84362E+18,,0,静静子朵朵子我来了,18952,10
109,8,6.84439E+18,,0,宁静我来了,18875,7
110,8,6.84363E+18,气场强大,3,来迟了,18282,3
111,8,6.84409E+18,,0,为宁静姐打call。金晨舞蹈惊艳到了,18000,1
112,8,6.85632E+18,,0,上联 乘风破浪劈荆展，下联 霏越九州佳合兴 横批 霏&佳 加油,18063,
113,8,6.84362E+18,,0,我来啦啊啊啊啊啊,18049,2
114,8,6.84362E+18,,0,来了,19000,5
115,8,6.84392E+18,,0,欣欣子,19220,2
116,8,6.84425E+18,,0,得不到的爱情,19241,1
117,8,6.84594E+18,,0,姐姐们，加油！,19105,
118,8,6.84372E+18,,0,开咯来咯,19139,1
119,8,6.84546E+18,,0,得不到的爱情团队姐姐们，给你们一万个赞??????,19972,
120,8,6.8467E+18,,0,是不是少了一集呀？怎么直接就跳过公演的环节了？,20789,6
121,8,6.84456E+18,,0,这个标题，我正好喜欢宁静和张含韵,20295,3
122,8,6.84379E+18,,0,超喜欢张含韵,20015,4
123,8,6.84362E+18,,0,郁可唯 妈妈来了,20000,3
124,8,6.84371E+18,,0,来啦，为了姐姐又充了会员,20000,1
125,8,6.84362E+18,,0,玉儿玉儿，我来啦,20000,2
126,8,6.84362E+18,,0,郁可唯，妈妈来了啊啊啊啊啊啊,21000,6
127,8,6.8445E+18,,0,松松姐回来呀,21682,3
128,8,6.84362E+18,,0,下饭下饭,21294,4
129,8,6.86702E+18,,0,怎么还没看就是前情回顾呢？第一次公演在哪里？,21000,
130,8,6.84362E+18,,0,第一第一,21006,3
131,8,6.86491E+18,跟班小弟,3,乘风破浪的姐姐，加油，海陆，我来了，加油?,21051,
132,8,6.84362E+18,,0,万茜,22937,7
133,8,6.84754E+18,,0,播放列表乱的都不知道看哪期,22000,3
134,8,6.8498E+18,,0,为什么我看不到这期啊,22368,1
135,8,6.84362E+18,,0,打卡,22489,5
136,8,6.85271E+18,,0,怎么没有比赛内容呢,22202,
137,8,6.84394E+18,,0,卡罗拉,22000,1
138,8,6.85453E+18,,0,宁静我来啦,23523,1
139,8,6.84381E+18,,0,来了,23000,4
140,8,6.84362E+18,,0,来了来了,23181,2
141,8,6.84437E+18,,0,打卡打卡,23752,1
142,8,6.84466E+18,,0,来了7.2????,23879,
143,8,6.84427E+18,,0,大家好,23246,1
144,8,6.8479E+18,,0,我是错过了什么吗？公演没看到啊。,24008,2
145,8,6.84362E+18,,0,pick朵清静的在哪里,24019,2
146,8,6.84362E+18,,0,马上来看啊啊啊,24000,2
147,8,6.84362E+18,,0,万茜四?孟佳霏霏冲啊,24000,2
148,8,6.84362E+18,,0,来了,24382,1
149,8,6.84551E+18,,0,宁静！加油！喜欢你！,24521,
150,8,6.84382E+18,实力唱将,3,茜茜子↖(^ω^)↗,25425,3
151,8,6.84362E+18,,0,白冰,25018,6
152,8,6.84392E+18,,0,喜欢这种日常,25110,2
153,8,6.84402E+18,,0,萌萌子加油，冲冲冲,25539,1
154,8,6.84583E+18,,0,加油(? ??_??)?,25051,
155,8,6.84362E+18,,0,没人吗？,25833,1
156,8,6.84362E+18,,0,pick金晨,26901,12
157,8,6.84362E+18,,0,加更个寂寞,26927,5
158,8,6.84399E+18,,0,韵韵子,26009,3
159,8,6.84362E+18,,0,终于终于太好看了,26102,2
160,8,6.84511E+18,,0,姐姐们乘风破浪,26780,1
161,8,6.84469E+18,,0,为什么我喜欢的都淘汰了？,27592,2
162,8,6.84429E+18,,0,可惜了王智,27613,3
163,8,6.84362E+18,,0,啦啦啦,27972,2
164,8,6.84371E+18,,0,打卡,27067,1
165,8,6.84728E+18,,0,宽面给我冲！,27041,
166,8,6.84362E+18,,0,每周可以看三期姐姐开心,27399,1
167,8,6.84362E+18,,0,万茜冲啊,28000,14
168,8,6.84362E+18,,0,王丽坤王丽坤加油加油,28682,4
169,8,6.84545E+18,,0,喜欢张含韵,28000,1
170,8,6.85581E+18,,0,好像所有的美好都发生在夏天,28000,
171,8,6.85066E+18,,0,怎么这么乱，第一次公演第几集啊,28000,
172,8,6.84399E+18,,0,来了,28000,1
173,8,6.84362E+18,,0,郑希怡我来啦！,29000,6
174,8,6.84363E+18,最强舞担,3,金晨,29461,5
175,8,6.84402E+18,,0,表白萌萌子  冲冲冲,29876,1
176,8,6.84362E+18,,0,兰花草和大碗宽面爱了,29000,3
177,8,6.84373E+18,,0,三十女人，好好看戏,29947,
178,8,6.84362E+18,,0,来了,29310,1
179,8,6.84399E+18,,0,大碗宽面棒棒哒,30107,4
180,8,6.85208E+18,,0,最后留下的应该是可能成团的，太大牌的演员一般留不下,30848,
181,8,6.84361E+18,,0,静静子，宁静,30638,4
182,8,6.84377E+18,,0,万茜我来了,30838,2
183,8,6.8492E+18,,0,姐姐们乘风破浪,30066,
184,8,6.84562E+18,,0,刘芸加油！你不应该淹没在这人海茫海中！,30901,
185,8,6.84402E+18,最强舞担,3,晨曦们给金晨投投票啊！！！掉到十四了,31863,5
186,8,6.84444E+18,,0,蓝盈莹会夺冠,31942,3
187,8,6.846E+18,,0,想童波的第一天  ,31422,
188,8,6.84362E+18,,0,佳佳子，冲,31650,2
189,8,6.84414E+18,,0,看看,31928,1
190,8,6.84535E+18,,0,王丽坤棒棒哒！！！！！,31331,
191,8,6.84362E+18,,0,绮绮子冲鸭,32000,3
192,8,6.84402E+18,,0,姐姐们加油,32727,1
193,8,6.84582E+18,,0,朱婧汐回来吧,32000,
194,8,6.84438E+18,,0,三个队确实实至名归,32491,
195,8,6.84362E+18,,0,好柔软,32584,1
196,8,6.84419E+18,,0,啊啊啊啊爱了爱了！！！！！！,32283,
197,8,6.84364E+18,,0,白冰加油,33481,6
198,8,6.84448E+18,,0,姐姐们,33878,1
199,8,6.84876E+18,,0,都好棒ヾ ^_^?,33900,
200,8,6.84364E+18,,0,来了,33559,1
201,8,6.8439E+18,,0,。打卡,33548,1
202,8,6.84784E+18,,0,太棒了，孟佳，,33169,
203,8,6.84363E+18,,0,茜茜子,34123,1
204,8,6.84362E+18,,0,这么多会员啊，哈哈哈哈,34000,1
205,8,6.84517E+18,,0,琦琦子冲冲冲,34670,
206,8,6.8447E+18,,0,咕咕画画,34000,
207,8,6.84362E+18,,0,小花,34139,1
208,8,6.84452E+18,,0,来晚了,34669,
209,8,6.84405E+18,,0,黄圣依冲啊,35000,6
210,8,6.84442E+18,,0,张含韵加油,35000,3
211,8,6.84471E+18,,0,喜欢孟佳,35027,2
212,8,6.84363E+18,,0,郑希怡郑希怡冲冲冲,35000,2
213,8,6.84567E+18,,0,万茜团太可惜了,35049,
214,8,6.84362E+18,,0,来了,35921,1
215,8,6.84362E+18,,0,大碗宽面确实好，主要能歌善舞的都在这一组！,36000,4
216,8,6.86417E+18,,0,对啊，第一次公演在哪，找不到,36269,1
217,8,6.84362E+18,,0,来了,36000,3
218,8,6.84733E+18,,0,含韵加油,36208,1
219,8,6.8444E+18,,0,张雨绮！,36000,1
220,8,6.84487E+18,,0,给姐姐打call！！！！,36019,
221,8,6.84364E+18,拎包妹,3,万茜我来啦,37367,6
222,8,6.84967E+18,,0,比赛哪里看,37046,
223,8,6.84541E+18,,0,啊啊啊我来了,37741,
224,8,6.84364E+18,,0,乘风破浪,37344,1
225,8,6.84522E+18,,0,韵韵子我来了,37973,
226,8,6.84512E+18,,0,好的好的,37390,
227,8,6.84375E+18,,0,我选前三的话 就“兰花草”“大碗宽面”“得不到的爱情”,38717,9
228,8,6.84362E+18,,0,啊啊啊啊啊啊郁可唯跳舞太好看吧我天啊要噴血而亡了???,38229,5
229,8,6.84402E+18,,0,哇塞！好刺激， 今天已经要淘汰六个人了,38731,2
230,8,6.84417E+18,,0,太喜欢姐姐们了,38000,1
231,8,6.84362E+18,,0,希希子我来咯,38109,2
232,8,6.84437E+18,,0,姐姐们都不认识,38030,
