,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
0,2,6689890424490280996,遗忘。,8,王漫妮 : 来了来了,3,1
1,2,6689890595398758458,散落在巴黎铁塔的樱花,0, 第一,3,2
2,2,6689890712855707641,,5,直接第二集,0,15
3,2,6689895097896025549,,2,这不是曹丽华吗,0,14
4,2,6689896317218656146,BlackMamba忻,6,琅琊榜的越贵妃,0,17
5,2,6689897177058672280,戴努力,0,第二集我来了,0,4
6,2,6689897232181216212,,0,这剧没有吸血父母。感动,0,4
7,2,6689897514600473728,BlackMamba忻,0,王柏林的老婆,0,2
8,2,6689897525623068418,戴努力,0,刘海妮,0,1
9,2,6689900904389836682,风继续吹,0,[厉害]好看,0,0
10,2,6689940864871370940,,0, 没有,3,0
11,2,6690174135785990192,,5,钟晓芹 :  这个好看嘛,1,0
12,2,6690214102011409474,happyann,2,王漫妮 : 好剧，片头片尾也不放过,2,1
13,2,6690229058396157361,,0, 纯纯手艺人,1,0
14,2,6690284197127583355,艾玛呀,0, 根本,3,1
15,2,6690459352136394965,,6,顾佳 : 哦,4,2
16,2,6690591943547171570,,0, 啦啦啦,2,0
17,2,6690615184446697424,月亮不会动,0, 打卡,4,0
18,2,6690778221904070381,小吴,0, ！！！,4,0
19,2,6690660442839726977,,0,q,1,0
20,2,6690909951633144063,嘻嘻嘻嘻,0,  不容易啊,4,1
21,2,6690933793932908664,庭乾!!!,0, 有,2,0
22,2,6691342370487859823,吕焕霞～喜洋洋服装店～网红爆款,0, 长大了才知道挣钱不容易,3,1
23,2,6691397225345649765,,0,好看吗1,3,0
24,2,6691505145433758198,,0,啦啦啦,1,0
25,2,6691516015546233370,,0, 看起来,2,0
26,2,6691637647448187866,幸福生活,0,[发财]cc,3,0
27,2,6689890448379673714,相信明天就是未来,5,王漫妮 : 来了,16,4
28,2,6689890766837450036,,0, 来了,16,0
29,2,6689943800322134112,(͒˶´⚇`˵)͒,2,王漫妮 : 这不是顾佳他家书房嘛,19,4
30,2,6690115398927940726,乌溜溜,3,王漫妮 : 都不容易啊,15,3
31,2,6690233190902335524,,0,发现片头是她们三个的家,18,7
32,2,6690272045126152807,不曾带走谁的谁,0, 九州缥缈录原来也是柠萌,16,1
33,2,6690424142367803430,,5, 片头都不想错过,18,1
34,2,6690519988890530982,,0, 第一第一,16,1
35,2,6690930347473356989,𓆡,1,  1,17,0
36,2,6691132467946131254,月光爱人🔥,0,太棒啦 好好看 上头,17,1
37,2,6691371799185695166,environmental,0, 音乐一起，隐秘的角落,16,0
38,2,6691567714567692469,,0,国产剧越来越好了,18,0
39,2,6689890683751772546,sophia,6,王漫妮 : 第一第一,24,3
40,2,6689890971430696301,我要吃肉肉⭐️,0,来啦来啦,24,0
41,2,6689892885741377968,,6,王漫妮 : 刚从二十不惑过来,23,3
42,2,6690520010001466654,,5,王漫妮 : 都不容易啊,21,2
43,2,6690576873791362010,,0, a,23,1
44,2,6690990861354989370,西琳,0,  1,21,0
45,2,6691219127509913809,,4, 片头都不想错过,20,0
46,2,6691301132595613672,,0,国产剧越来越好了,24,0
47,2,6691351098835801101,,0,  我最美,21,0
48,2,6691371820484378982,environmental,0, 九州缥缈录原来也是柠萌,21,0
49,2,6689890949549012252,雨天,4,浪浪 : 哇啊啊啊啊啊啊啊啊,27,1
50,2,6689891137471582599,,6,王漫妮 :  没人吗？,25,2
51,2,6690520027009369422,,0, 这不是顾佳他家书房嘛,25,0
52,2,6690904709206129536,,0, 刚从二十不惑过来,29,1
53,2,6691322018354367585,komobear,3,像绝望主妇,29,1
54,2,6691323931144682395,雨青晴子🌹,0,太棒啦 好好看 上头,25,1
55,2,6691383344929900491,淡许......,4,王漫妮 : 国产剧越来越好了,26,2
56,2,6689890460539319119,遗忘。,8,王漫妮 : 第一第一,9,1
57,2,6689891043645001799,,6,王漫妮 :  谁能告诉我这是第二集吗？,6,6
58,2,6689910809403265644,(͒˶´⚇`˵)͒,0, 片头都不想错过,6,3
59,2,6689943670726264835,(͒˶´⚇`˵)͒,0, 片头好棒 每一幕都是角色代表,6,1
60,2,6690159171792738634,,0, 。。。,6,0
61,2,6690102725076042582,木吉他的味道,0,～康师傅天然自来水,5,1
62,2,6690283220430422866,,5,王漫妮 : 啊,5,1
63,2,6690400181822884831,风逸,5,好看,8,0
64,2,6690461002569859545,,0,太棒啦 好好看 上头,9,5
65,2,6690505604911845018,灵素,0,啦啦,6,0
66,2,6690533796154115500,,0,😀,8,0
67,2,6690747499184060090,,0,呵呵呵,9,2
68,2,6691335993653964633,落叶,0, u,8,0
69,2,6689917869476738323,a邵傑-液晶拼接,4,王漫妮 : 没被抢大姐指定妮付款，心机女害妮妮嘴过敏,10,6
70,2,6690087928006376448,Shirley,0,  好好看,10,1
71,2,6690109286040928448,,0,来啦,13,0
72,2,6690109288653979849,,0,了I啦,10,0
73,2,6690256577536398441,JHUIDONG,4,许幻山 : 音乐一起，隐秘的角落,11,4
74,2,6690520329187991821,,6,王漫妮 :  1,13,1
75,2,6690619190786159635,ò樱兮沫ó,0, 打卡,11,1
76,2,6691644122593428356,,0,6666,13,0
77,2,6689890575240950985,造物主难辞其咎的败笔,4,人呢？,33,2
78,2,6690118351705356932,Secret.,6, 刚从二十不惑过来,30,2
79,2,6690139946718010130,筱 / 娴＇,6,顾佳 :  好看,32,1
80,2,6690630655095057113,Jerry,7,王漫妮 : 哈哈,31,0
81,2,6691211775721280590,,0,王漫妮 : 都不容易啊,32,0
82,2,6689890794352397625,伟仔,5,王漫妮 : 我来了,45,1
83,2,6689892344365781525,akbyuko,1,王漫妮 : 怎样做人見人爱的招财猫不就是恋爱先生,48,1
84,2,6690459987145594839,暮苍,1,顾佳 : 片头做的都像电影,47,3
85,2,6690530448437127442,🍀终 于 真 爱,5,王漫妮 :  我来了,46,0
86,2,6690566029870379538,,0,我来了,46,0
87,2,6691219450323565191,TONG🥨轻奢抗衰 美学管理,0,还可以，两年没看过电视剧了📺,45,0
88,2,6689908546315238961,,6,这是张萌家的剧吗？柠檬影视,59,1
89,2,6690556142558577027,,6,啊,55,0
90,2,6690831126136108637,,6,王漫妮 :  我要吃雷雷的牛排,56,2
91,2,6690862358051977441,...,0, 美剧片头,59,0
92,2,6691204799616500571,水哥,2,嘟嘟嘟嘟到了,58,0
93,2,6691542852641991990,半世୧⍤⃝🌻,0, 打卡,56,0
94,2,6691590253792707573,白.,0, 就喜欢腾讯的不守时,59,0
95,2,6691602237262165651,,0, 大片即视感,58,0
96,2,6689890823573108809,,1,王漫妮 : 原来真的没有1,44,2
97,2,6689890705785465010,蓝绿,0, 我来晚了？,44,0
98,2,6690166104922771004,,1,顾佳 : 陈屿的鱼和眼镜,43,0
99,2,6690421038028191250,,4,王漫妮 : 刚从二十不惑过来,40,2
100,2,6690669078701962780,,0, 陈屿的鱼和眼镜,44,1
101,2,6690793890330640444,向日葵,0,好看,42,0
102,2,6691384019666534153,六叶子,6,大片即视感,41,0
103,2,6691558517296886819,CUI.LOOK,0,  呵,44,0
104,2,6689890594371863238,,1,没有1,35,0
105,2,6689890988774852632,雨天,4,浪浪 : 啵啵,36,0
106,2,6689891339238577261,akbyuko,0, 這片頭風格簡直好先生3了不是成了好女士3,36,1
107,2,6689943961499875191,(͒˶´⚇`˵)͒,2,王漫妮 : 陈屿的鱼和眼镜,37,2
108,2,6690144912051206421,,0,  好看,37,1
109,2,6690416595971808502,,0,大片即视感,35,2
110,2,6691602088306659021,,0, 国产剧越来越好了,37,0
111,2,6691644571614956726,,0, 哈哈,35,0
112,2,6689891045988644471,雨天,4,浪浪 : 六留个爪子,50,0
113,2,6690082297300418217,,0, 就喜欢腾讯的不守时,50,0
114,2,6690480762686474511,,0,王漫妮 : 刚从二十不惑过来,50,0
115,2,6690625064184301882,,3,顾佳 :  来了,53,1
116,2,6690659599884943147,Shirley Cheung,0,喜欢💕很有质感的一部剧,50,1
117,2,6691287008759189647,光影,2,王漫妮 : 要出事的节奏,51,0
118,2,6691322444424661619,,0,  来啦来啦来啦,51,0
119,2,6691590237584556003,白.,2,大片即视感,52,0
120,2,6689937452267221641,,0,感觉和隔壁的二十不惑比起来有点压抑,66,1
121,2,6691499837789556449,A0 Truly Lin,1,王漫妮 : 刚从二十不惑过来,65,0
122,2,6689937585511526674,,0,演员都是我喜欢的，但是怎么觉得有点怪怪的,73,2
123,2,6690027901670641246,,2,王漫妮 : 这是张萌家的剧吗？柠檬影视,73,3
124,2,6690081892924333637,别烦小郑,5,王漫妮 :  所以这是三十成熟女性电视剧怎么跟二十的比,74,11
125,2,6690610520137342967,Le💕,1,顾佳 :  我,70,1
126,2,6690867966910860578,配配 晏,0, 来了！期待晏紫东钟晓阳！帅哥未来可期💓,72,2
127,2,6690976441301442643,一个有趣的灵魂,3,片头内容好多！,72,0
128,2,6690996018323405952,,0,来啦,73,0
