,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
0,11,6691343219968995816,,5,王漫妮 :  第一次追剧,15,0
1,11,6691369616095590818,,6,王漫妮 : 不够看啊。。。。一天才两级。。。,16,2
2,11,6691440505474529013,,0, 晚上,15,1
3,11,6691465980565191682,飘.絮,1,  来啦,17,0
4,11,6691604204319076398,,0,这男的一看就不是撒好东西,15,0
5,11,6691649056449003066,,0, 这也太随便了吧,17,0
6,11,6691465992063135225,飘.絮,1,上当了上当了,20,0
7,11,6691526938089475820,,5,王漫妮 : 来了第一,21,1
8,11,6691626598342829233,乐康 - 星空平台,1,王漫妮 : 我是王乐康,24,0
9,11,6691359737399191223,瞌睡虫,1,顾佳 : 这也太随便了吧,8,4
10,11,6691360263129997291,,1,王漫妮 : 上一集真的好雷击啊,5,7
11,11,6691497485983561196,,6,王漫妮 : 。,6,0
12,11,6691380487135621777,,1,这男的一看就不是撒好东西,9,0
13,11,6691604150994014708,,6, 太劲爆了吧,7,0
14,11,6691644432954458069,迷失,0,1,7,0
15,11,6691352933305613342,,1,王漫妮 : 没有人吗？,27,0
16,11,6691357291880581834,,2,王漫妮 : 你永远不知道你的员工请假是去干什么,25,7
17,11,6691527856439703576,,4,顾佳 :  啊哦，无名指戒指碎了,29,0
18,11,6691339642995244412,Z..,1,王漫妮 : 第一,11,0
19,11,6691340594910271136,,4,钟晓芹 :  来啦,10,3
20,11,6691426174405981298,小兰兰兰兰兰,3,上当了上当了,14,2
21,11,6691493938165426251,ing,3,王漫妮 : 来了第一,12,3
22,11,6691527705739068098,,0,  人好少哦,14,0
23,11,6691635886048866514,,0, 。,10,0
24,11,6691340191844727223,,3,来了来了,0,4
25,11,6691340240578690139,,3,我咋不是第一个,0,6
26,11,6691340326336402057,,4,不守时我来了,0,8
27,11,6691340441666222396,阳光男孩,6,第一！,0,2
28,11,6691341117620238690,雨后天空,0,我提前来发弹幕   呀,0,0
29,11,6691341135039198106,,2,准点守更新哈哈哈,0,0
30,11,6691340920584418921,,6,就喜欢腾讯的不守时,3,2
31,11,6691341198810401363,,3,赵雪竹，我赵文,0,0
32,11,6691341497990058968,鱼,6,前面那集没看，就为了留下我VIP的痕迹…,0,0
33,11,6691350236897977447,,3,王漫妮 : 这男的是好人吗,1,1
34,11,6691476705501527486,,0,k,3,0
35,11,6691481416439896363,DJ,3,刷,2,0
36,11,6691518871947947206,,1,王漫妮 : 来了,2,1
37,11,6691600212977793540,,0, 太劲爆了吧,2,0
38,11,6691606350276344258,,0,aaa,2,0
39,11,6691655191658790186,,0, 打卡,2,0
40,11,6691466042235407914,飘.絮,1, 你永远不知道你的员工请假是去干什么,32,2
41,11,6691490240310820207,,5,王漫妮 : 你永远不知道你的员工请假是去干什么,33,0
42,11,6691601306009238783,AAA专业装修施工,0,得啦吧大哥，你还是管好你自己别处问题吧,33,0
43,11,6691657038755768214,,4,王漫妮 : 1,30,0
44,11,6691372121224357217,,5,顾佳 :  片头的细节很好哎,52,0
45,11,6691539586248060550,淇淇,2,王漫妮 :  羞羞脸,53,0
46,11,6691563838485503751,..,0, 这一集像是偷来的,52,0
47,11,6691587174204686833,,0,王漫妮 : 你永远不知道你的员工请假是去干什么,53,0
48,11,6691599564723917727,,0, 午好,52,0
49,11,6691398013396959936,,4,王漫妮 : 心里的小激动,48,1
50,11,6691503378012819363,,5, 你永远不知道你的员工请假是去干什么,41,0
51,11,6691568656197027916,殇ベ,2,王漫妮 : 你永远不知道你的员工请假是去干什么,43,4
52,11,6691341556961708410,,2,王漫妮 : 有人吗,57,1
53,11,6691378981061719453,,0, 我不服,57,1
54,11,6691343450232077383,,5,王漫妮 :  有人,66,1
55,11,6691360513869729288,,1,王漫妮 : 有哇,65,0
56,11,6691368445361498738,,0, 有人,66,0
57,11,6691371298327043915,李海萍,4, 有人吗,67,0
58,11,6691581027446618248,顾盼,0, 他是我奋不顾身扑向的光,67,0
